LOT_ID,명점,양품,불량률,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
LOT-266,2,18,10%,2호기,2호기,1호기,1호기,1호기,2호기,1호기,3호기,1호기,1호기,1호기,2호기,2호기,1호기,3호기,1호기,2호기
LOT-267,4,16,20%,1호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,3호기,2호기,2호기
LOT-268,2,18,10%,1호기,2호기,2호기,1호기,1호기,1호기,1호기,3호기,2호기,1호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기
LOT-269,2,18,10%,2호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기
LOT-270,3,17,15%,1호기,1호기,1호기,1호기,2호기,2호기,1호기,3호기,2호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기
LOT-271,2,18,10%,1호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-272,2,18,10%,1호기,2호기,1호기,1호기,2호기,2호기,2호기,3호기,1호기,2호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기
LOT-273,3,17,15%,1호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,3호기,2호기,2호기
LOT-274,3,17,15%,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기
LOT-275,4,16,20%,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기
LOT-276,1,19,5%,1호기,1호기,2호기,2호기,2호기,2호기,2호기,3호기,1호기,1호기,1호기,2호기,2호기,2호기,3호기,2호기,2호기
LOT-277,2,18,10%,2호기,1호기,2호기,1호기,1호기,1호기,2호기,3호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기
LOT-278,3,17,15%,2호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,3호기,2호기,2호기
LOT-279,4,16,20%,1호기,2호기,2호기,1호기,2호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기
LOT-280,2,18,10%,1호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,3호기,2호기,2호기
LOT-281,4,16,20%,2호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,3호기,2호기,1호기
LOT-282,4,16,20%,1호기,2호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,1호기
LOT-283,3,17,15%,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기
LOT-284,5,15,25%,2호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,3호기,2호기,2호기
LOT-285,1,19,5%,1호기,1호기,1호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기
LOT-286,6,14,30%,2호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기
LOT-287,3,17,15%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기
LOT-288,3,17,15%,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,3호기,1호기,1호기
LOT-289,4,16,20%,1호기,1호기,1호기,1호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기
LOT-290,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,2호기
LOT-291,5,15,25%,2호기,2호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기
LOT-292,0,20,0%,2호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기
LOT-293,3,17,15%,2호기,2호기,1호기,1호기,1호기,1호기,1호기,3호기,2호기,1호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기
LOT-294,2,18,10%,2호기,1호기,2호기,1호기,1호기,2호기,1호기,3호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기
LOT-295,1,19,5%,2호기,1호기,1호기,1호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기
LOT-296,3,17,15%,2호기,1호기,2호기,1호기,2호기,2호기,2호기,3호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,1호기,1호기
LOT-297,2,18,10%,1호기,2호기,1호기,2호기,2호기,1호기,2호기,3호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-298,4,16,20%,2호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기,3호기,2호기,1호기
LOT-299,4,16,20%,1호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기
LOT-300,3,17,15%,2호기,1호기,1호기,1호기,1호기,2호기,1호기,3호기,2호기,2호기,1호기,2호기,1호기,1호기,3호기,1호기,2호기
