JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_7PASTE,TAT_8AGING
0,88,210.0,82.0,69,176.0,352.0,7440.0,6567.0,530.0,78.0,543.0,100.0,399.0,94.0,8970.0,0.0,10075.0
0,86,250.0,84.0,69,152.0,356.0,6867.0,6447.0,540.0,78.0,393.0,78.0,390.0,78.0,7084.0,0.0,10076.0
0,86,200.0,84.0,75,160.0,384.0,7500.0,6453.0,540.0,76.0,363.0,82.0,393.0,84.0,7110.0,0.0,10076.0
0,86,220.0,84.0,69,186.0,352.0,7440.0,6600.0,530.0,80.0,360.0,78.0,399.0,86.0,8970.0,0.0,10075.0
0,78,240.0,80.0,74,182.0,348.0,6753.0,6600.0,530.0,78.0,423.0,100.0,333.0,88.0,6844.0,0.0,10077.0
0,86,250.0,84.0,69,146.0,364.0,6927.0,8973.0,530.0,90.0,405.0,80.0,399.0,86.0,7260.0,0.0,9750.0
0,86,210.0,82.0,72,148.0,352.0,7440.0,6573.0,530.0,78.0,345.0,78.0,396.0,78.0,8970.0,0.0,10076.0
0,80,240.0,78.0,69,142.0,368.0,6813.0,6540.0,530.0,78.0,441.0,86.0,396.0,88.0,6986.0,0.0,10074.0
0,88,250.0,84.0,69,152.0,348.0,6960.0,6453.0,530.0,80.0,465.0,76.0,330.0,84.0,6990.0,0.0,9750.0
0,94,230.0,84.0,72,150.0,368.0,6660.0,6573.0,550.0,76.0,336.0,78.0,396.0,84.0,7080.0,0.0,9750.0
0,100,220.0,90.0,69,178.0,332.0,7047.0,6513.0,530.0,78.0,327.0,76.0,327.0,84.0,6810.0,0.0,10075.0
0,88,210.0,90.0,69,150.0,384.0,6960.0,6447.0,530.0,80.0,342.0,78.0,399.0,84.0,7170.0,0.0,10076.0
0,86,220.0,88.0,69,142.0,368.0,7113.0,6507.0,540.0,78.0,369.0,78.0,321.0,84.0,7085.0,0.0,10076.0
0,80,230.0,79.0,69,164.0,368.0,6840.0,6540.0,530.0,78.0,441.0,76.0,366.0,88.0,6934.0,0.0,10073.0
0,88,210.0,88.0,69,160.0,336.0,7080.0,6513.0,530.0,76.0,375.0,76.0,324.0,82.0,6780.0,0.0,10076.0
0,88,220.0,88.0,72,138.0,384.0,6867.0,6453.0,530.0,80.0,369.0,76.0,396.0,84.0,7110.0,0.0,10074.0
0,100,210.0,90.0,69,186.0,332.0,7020.0,6480.0,540.0,80.0,342.0,80.0,357.0,84.0,6780.0,0.0,10074.0
0,88,210.0,88.0,72,160.0,372.0,6687.0,6600.0,540.0,78.0,432.0,82.0,330.0,82.0,6960.0,0.0,10076.0
0,86,220.0,82.0,74,156.0,352.0,6720.0,6600.0,540.0,80.0,501.0,76.0,396.0,86.0,6960.0,0.0,9750.0
0,86,210.0,82.0,69,130.0,356.0,7047.0,6453.0,530.0,80.0,372.0,78.0,300.0,86.0,7020.0,0.0,10076.0
0,86,220.0,85.0,75,162.0,356.0,7020.0,6453.0,530.0,78.0,414.0,78.0,324.0,96.0,6960.0,0.0,10075.0
0,86,220.0,84.0,69,154.0,372.0,7107.0,6573.0,530.0,76.0,351.0,72.0,366.0,84.0,8970.0,0.0,10074.0
0,86,210.0,84.0,72,134.0,384.0,6900.0,6447.0,530.0,80.0,342.0,100.0,390.0,82.0,7115.0,0.0,10074.0
0,86,210.0,84.0,66,164.0,392.0,6873.0,6480.0,530.0,78.0,402.0,76.0,399.0,84.0,7140.0,0.0,10076.0
0,88,210.0,82.0,69,134.0,384.0,6867.0,6420.0,530.0,100.0,300.0,78.0,396.0,90.0,7230.0,0.0,10076.0
0,88,220.0,84.0,72,150.0,356.0,6987.0,6420.0,540.0,78.0,408.0,82.0,399.0,86.0,7345.0,0.0,10076.0
0,86,210.0,82.0,66,212.0,352.0,6933.0,6453.0,540.0,80.0,537.0,76.0,399.0,88.0,7260.0,0.0,10076.0
0,88,210.0,84.0,72,138.0,396.0,6933.0,6453.0,540.0,78.0,423.0,80.0,387.0,84.0,6990.0,0.0,10074.0
0,94,230.0,84.0,72,150.0,368.0,6660.0,6573.0,550.0,76.0,336.0,78.0,396.0,84.0,7080.0,0.0,10074.0
0,88,210.0,82.0,69,134.0,384.0,6867.0,6420.0,530.0,78.0,342.0,78.0,384.0,84.0,7290.0,0.0,9750.0
0,87,210.0,84.0,66,148.0,384.0,7473.0,6420.0,530.0,0.0,327.0,0.0,399.0,0.0,7170.0,0.0,9749.0
0,88,210.0,84.0,69,136.0,384.0,6900.0,6420.0,530.0,78.0,360.0,86.0,360.0,86.0,7170.0,0.0,9749.0
0,88,210.0,84.0,72,140.0,380.0,6960.0,6420.0,540.0,80.0,336.0,78.0,324.0,92.0,6750.0,0.0,10076.0
0,96,220.0,78.0,69,146.0,368.0,6780.0,6600.0,540.0,88.0,429.0,76.0,393.0,88.0,6840.0,0.0,10075.0
0,88,220.0,84.0,72,138.0,380.0,7380.0,6453.0,530.0,78.0,357.0,100.0,393.0,82.0,7115.0,0.0,10076.0
0,78,240.0,82.0,69,136.0,368.0,6813.0,6540.0,530.0,80.0,390.0,78.0,396.0,88.0,6814.0,0.0,10074.0
0,86,220.0,84.0,69,130.0,364.0,6720.0,6510.0,540.0,94.0,435.0,80.0,396.0,84.0,6960.0,0.0,9750.0
0,88,220.0,81.0,69,156.0,380.0,6867.0,6600.0,530.0,80.0,402.0,78.0,330.0,84.0,7106.0,0.0,9751.0
0,88,220.0,84.0,69,154.0,388.0,6933.0,6507.0,530.0,78.0,429.0,78.0,396.0,84.0,7140.0,0.0,10075.0
0,86,210.0,82.0,69,150.0,380.0,6867.0,6420.0,540.0,80.0,369.0,98.0,399.0,84.0,7170.0,0.0,9751.0
0,86,210.0,84.0,69,148.0,384.0,6807.0,6480.0,540.0,78.0,597.0,78.0,393.0,84.0,7140.0,0.0,10076.0
0,86,190.0,84.0,72,216.0,372.0,7140.0,6573.0,530.0,82.0,324.0,78.0,333.0,84.0,8996.0,0.0,10075.0
0,86,210.0,82.0,69,130.0,384.0,6900.0,6507.0,530.0,78.0,393.0,78.0,396.0,86.0,7140.0,0.0,10074.0
0,78,230.0,80.0,69,138.0,368.0,6720.0,6627.0,540.0,92.0,459.0,80.0,396.0,88.0,6840.0,0.0,9751.0
1,86,220.0,83.0,69,180.0,344.0,7080.0,6453.0,540.0,80.0,387.0,78.0,339.0,86.0,7084.0,0.0,9750.0
0,86,210.0,88.0,74,116.0,340.0,7680.0,6573.0,530.0,100.0,396.0,100.0,336.0,84.0,7110.0,0.0,10074.0
0,78,230.0,84.0,74,136.0,368.0,6720.0,6627.0,540.0,76.0,423.0,88.0,396.0,88.0,6845.0,0.0,9749.0
0,86,210.0,82.0,69,130.0,384.0,6900.0,6507.0,530.0,78.0,390.0,78.0,396.0,86.0,7144.0,0.0,9750.0
0,88,210.0,90.0,72,190.0,372.0,7173.0,6567.0,530.0,76.0,327.0,100.0,327.0,84.0,8970.0,0.0,10076.0
0,88,210.0,84.0,69,154.0,380.0,6900.0,6453.0,540.0,84.0,327.0,80.0,312.0,90.0,6750.0,0.0,10076.0
0,86,210.0,82.0,69,148.0,384.0,6933.0,6540.0,530.0,100.0,393.0,76.0,399.0,82.0,7140.0,0.0,10076.0
0,88,220.0,85.0,69,134.0,352.0,6960.0,6420.0,540.0,78.0,414.0,78.0,399.0,86.0,7286.0,0.0,9749.0
0,88,200.0,84.0,66,152.0,384.0,6900.0,6447.0,530.0,80.0,429.0,84.0,396.0,84.0,7290.0,0.0,10076.0
0,78,230.0,80.0,69,138.0,368.0,6720.0,6627.0,540.0,78.0,393.0,76.0,399.0,88.0,6865.0,0.0,9749.0
0,88,240.0,84.0,72,140.0,360.0,6867.0,6447.0,530.0,80.0,393.0,78.0,387.0,86.0,7110.0,0.0,10076.0
0,88,210.0,84.0,69,154.0,380.0,6900.0,6453.0,540.0,78.0,318.0,78.0,315.0,92.0,6780.0,0.0,10075.0
0,94,210.0,82.0,69,146.0,368.0,6780.0,6600.0,540.0,86.0,495.0,88.0,399.0,86.0,6840.0,0.0,10073.0
1,86,220.0,84.0,69,150.0,376.0,6840.0,6840.0,540.0,82.0,393.0,80.0,396.0,86.0,6810.0,0.0,10074.0
1,88,210.0,84.0,74,156.0,336.0,7020.0,6453.0,550.0,80.0,381.0,100.0,399.0,84.0,7046.0,0.0,10077.0
0,78,230.0,80.0,69,138.0,368.0,6720.0,6627.0,540.0,78.0,393.0,76.0,399.0,88.0,6865.0,0.0,9749.0
0,90,220.0,84.0,66,146.0,384.0,6993.0,6513.0,530.0,80.0,390.0,78.0,309.0,78.0,7016.0,0.0,10076.0
0,88,220.0,87.0,72,340.0,352.0,6867.0,6480.0,530.0,78.0,393.0,78.0,396.0,84.0,7140.0,0.0,10075.0
0,86,240.0,84.0,75,148.0,384.0,6900.0,6420.0,540.0,80.0,366.0,78.0,402.0,84.0,7170.0,0.0,10076.0
0,86,220.0,85.0,72,152.0,368.0,6807.0,6507.0,530.0,98.0,597.0,78.0,369.0,84.0,6780.0,0.0,10075.0
0,88,230.0,84.0,69,150.0,348.0,7413.0,6540.0,530.0,80.0,336.0,78.0,399.0,84.0,8970.0,0.0,10076.0
0,86,220.0,86.0,72,140.0,368.0,7047.0,6540.0,530.0,78.0,438.0,76.0,354.0,84.0,6874.0,0.0,10077.0
0,86,250.0,84.0,69,152.0,356.0,6867.0,6447.0,540.0,80.0,303.0,78.0,309.0,82.0,7290.0,0.0,10075.0
0,78,240.0,78.0,69,140.0,368.0,6780.0,6573.0,530.0,100.0,531.0,78.0,396.0,88.0,6866.0,0.0,10074.0
0,88,210.0,82.0,69,146.0,408.0,7287.0,6630.0,530.0,78.0,336.0,88.0,330.0,86.0,8970.0,0.0,10074.0
0,88,220.0,84.0,69,138.0,384.0,6900.0,6447.0,530.0,78.0,375.0,76.0,312.0,84.0,7170.0,0.0,10074.0
0,86,220.0,83.0,75,130.0,384.0,6900.0,6447.0,530.0,78.0,402.0,80.0,396.0,78.0,7260.0,0.0,9750.0
0,88,210.0,84.0,69,180.0,380.0,6900.0,6480.0,530.0,80.0,351.0,78.0,396.0,82.0,7110.0,0.0,10075.0
1,86,210.0,84.0,69,144.0,364.0,6753.0,6480.0,530.0,80.0,372.0,76.0,399.0,78.0,6725.0,0.0,9750.0
0,88,230.0,84.0,74,142.0,384.0,7500.0,6447.0,530.0,80.0,360.0,86.0,381.0,84.0,7115.0,0.0,10076.0
0,88,210.0,78.0,69,146.0,416.0,6900.0,6633.0,540.0,98.0,387.0,86.0,384.0,86.0,6805.0,0.0,9750.0
0,86,210.0,82.0,69,130.0,384.0,6900.0,6507.0,530.0,78.0,393.0,78.0,396.0,86.0,7140.0,0.0,10074.0
1,88,220.0,86.0,69,142.0,360.0,6780.0,6507.0,530.0,80.0,381.0,78.0,399.0,86.0,7015.0,0.0,9750.0
0,88,220.0,86.0,75,156.0,336.0,7053.0,6513.0,530.0,80.0,318.0,78.0,399.0,82.0,6865.0,0.0,10076.0
0,88,250.0,84.0,69,152.0,348.0,6960.0,6453.0,530.0,78.0,462.0,78.0,318.0,86.0,7050.0,0.0,10074.0
0,80,230.0,79.0,69,164.0,368.0,6840.0,6540.0,530.0,80.0,402.0,90.0,399.0,90.0,6960.0,0.0,9750.0
0,88,220.0,82.0,72,146.0,368.0,6987.0,6480.0,530.0,76.0,372.0,82.0,396.0,100.0,6840.0,0.0,10075.0
